date,Cavco US Equity,RGUSDHB Index
10/9/24,16.1644,24.66
10/7/24,15.8932,24.45
10/4/24,15.6932,24.8
10/3/24,17.6767,27.77
10/2/24,18.5589,28.06
10/1/24,20.6767,29.59
9/27/24,18.3068,28.48
9/26/24,16.7534,25.99
9/25/24,15.6192,25.42
9/24/24,17.4329,28.08
9/23/24,17.8849,28.82
9/19/24,21.6986,31.19
9/18/24,16.1726,28.22
9/17/24,18.2466,28.67
9/16/24,17.0329,27.74
9/13/24,17.1315,27.43
9/11/24,10.3671,20.72
9/10/24,10.4986,21.66
9/9/24,10.5699,21.54
9/6/24,10.2603,20.91
9/5/24,9,19.95
9/3/24,8.8027,20.58
9/2/24,,23.58
8/30/24,13.2384,23.58
8/29/24,10.7151,22.27
8/28/24,10.3562,22.57
8/26/24,10.7644,24.42
8/23/24,12.0986,26.05
8/22/24,6.6877,21.05
8/21/24,8.0548,20.99
8/19/24,7.7178,18.09
8/16/24,5.9918,15.5
8/15/24,7.2,14.93
8/14/24,3.1041,13.72
8/12/24,-0.7616,12.89
8/9/24,0.8493,13.53
8/8/24,0.3836,12.99
8/7/24,-0.4356,10.86
8/6/24,-0.326,13.81
8/5/24,-0.3288,13.25
8/2/24,4.9233,16.95
8/1/24,9.9644,18.68
7/31/24,13.5945,20.43
7/30/24,15.063,21.52
7/29/24,14.4521,20.37
7/26/24,14.4466,19.3
7/25/24,10.1671,15.76
7/24/24,7.3507,14.12
7/23/24,11.189,17.21
7/22/24,10.5425,16.93
7/19/24,7.2055,15.06
7/18/24,7.7233,14.85
7/17/24,9.0164,11.05
7/16/24,12.5342,13.51
7/15/24,4.5781,6.44
7/12/24,2.0301,6.55
7/11/24,0.0301,4.38
7/10/24,-4.1534,-2.55
7/9/24,-5.8082,-4.82
7/8/24,-5.6438,-4.64
7/5/24,-8.0438,-5.41
7/4/24,,-4.59
7/3/24,-6.9726,-4.59
7/2/24,-7.0027,-4.88
7/1/24,-7.5589,-3.82
6/28/24,-5.1589,-1.18
6/27/24,-5.6849,-1.33
6/26/24,-6.463,-1.54
6/25/24,-5.7863,-1.54
6/24/24,-2.3315,0.67
6/21/24,-2.0027,-0.28
6/20/24,-1.7123,-1.2
6/19/24,,-1.3
6/18/24,-2.789,-1.3
6/17/24,-2.0137,1.67
6/14/24,-2.0164,0.87
6/13/24,-1.537,1.66
6/12/24,-1.6466,1.68
6/11/24,-6.0767,-1.28
6/10/24,-4.6521,0.6
6/7/24,-5.7507,-0.53
6/6/24,-3.2192,1.59
6/5/24,-2.8877,2.87
6/4/24,-5.5808,1.1
6/3/24,-3.0137,3.3
5/31/24,-2.137,3.68
5/30/24,-2.9863,2.02
5/29/24,-6.326,-0.3
5/28/24,-4.3671,0.7
5/27/24,,1.77
5/24/24,-4.6904,1.77
5/23/24,-2.8849,0.56
5/22/24,-3.0904,1.57
5/21/24,-0.7233,5.42
5/20/24,2.6521,6.47
5/17/24,2.5233,7.03
5/16/24,1.8603,6.78
5/15/24,7.1671,10.29
5/14/24,2.5644,4.91
5/13/24,1.9726,4.39
5/10/24,3.1808,5.51
5/9/24,3.2521,5.08
5/8/24,1.7836,3.68
5/7/24,3.726,5.43
5/6/24,4.5288,5.27
5/3/24,3.3699,3.69
5/2/24,1.9233,1.61
5/1/24,0,0
